AGE,M_2005,F_2005
0,25468,24166
5,24463,23336
10,28377,27079
15,28866,26992
20,26524,22313
25,22470,19922
30,23815,22894
35,24681,23031
40,28609,27211
45,29495,28087
50,27449,24831
55,21396,18243
60,13233,11677
65,7898,7173
70,5201,5470
75,3770,4249
80,2092,2966
85,1270,2429
90,0,0
95,0,0
100,0,0
